metric,value
n_isco_codes,155.0
n_perioden,3.0
beta_DiD,-18.0725
p_DiD,0.1221
vor_ki_mean,4.7328
nach_ki_mean_22_23,5.2489
nach_ki_mean_23_24,1.3968
