isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,delta_bfs_post,is_outlier,main_group,n_onet_berufe,sektor,employed_2019,employed_2022,delta_bfs_pre,did
1112,0.07745395396712026,0.07044845960517118,0.08732018456867623,14.44437869484354,False,1,4,Führung & Management,14.155268276239998,12.438160335807,-12.13052205669044,26.57490075153398
1120,0.1844079761990149,0.151123455729332,0.233070577751358,1.7107154846984889,False,1,1,Führung & Management,109.228421537895,134.88761828972696,23.491318825778254,-21.780603341079765
1211,0.34573013934883406,0.29905954248362965,0.41311548090968886,-7.322497252721817,False,1,2,Finanz & Beratung,19.419981103062995,21.499894461505,10.710171896686111,-18.03266914940793
1212,0.14027751556693638,0.12170732937710327,0.16706369593840606,1.1763416091004857,False,1,3,Finanz & Beratung,13.979909680026001,13.564983511046998,-2.968017522830169,4.1443591319306545
1219,0.016132314374906167,0.013495448131904378,0.01997264438877462,17.701069218868735,False,1,9,Finanz & Beratung,12.258169473623997,11.188193659694004,-8.728675323279456,26.429744542148192
1221,0.0313687966350002,0.02468706083650605,0.04119259336662145,4.713553274620107,False,1,2,Finanz & Beratung,44.686694175239,52.72827724799202,17.99547543440544,-13.281922159785331
1223,0.43178006605035396,0.3784554191792468,0.508415247015918,18.02024621863212,False,1,2,Finanz & Beratung,7.277351550474001,7.978092085696001,9.629059835323716,8.391186383308405
1321,0.08766827360007595,0.07386624844669044,0.1077381310584235,-1.8948689340589904,False,1,2,ICT & Technik,29.038731437544996,34.40472682012501,18.478752744832956,-20.373621678891947
1323,0.0,0.0,0.0,2.299948136571228,False,1,1,ICT & Technik,7.838395455995,7.393838464748998,-5.671530528687397,7.9714786652586245
1324,0.2570273593718577,0.21832859549578945,0.3131910165255376,11.483540430488349,False,1,3,ICT & Technik,20.293166971780998,18.928098152166,-6.726741180975923,18.21028161146427
1341,0.0,0.0,0.0,-11.554476973672667,False,1,2,ICT & Technik,3.225990742018,3.922539975932,21.591792711664073,-33.14626968533674
1342,0.0267531794594144,0.0214869071540835,0.0344761508467629,-16.01140763659569,False,1,1,ICT & Technik,3.6455473876830005,4.720166093993001,29.477567893939664,-45.488975530535356
1344,0.0,0.0,0.0,-11.199433993219786,False,1,1,ICT & Technik,4.109552527578999,3.260227311051,-20.667097228426222,9.467663235206436
1345,0.0,0.0,0.0,-6.693310805063635,False,1,1,ICT & Technik,10.392811527343001,11.028094699376,6.112717144553218,-12.806027949616853
1349,0.1186127996065343,0.13035612496119123,0.09965687733037577,4.65508308680129,False,1,4,ICT & Technik,6.508343490606001,8.184198786407,25.749336958319603,-21.094253871518312
1411,0.0,0.0,0.0,3.197557183372949,False,1,2,Führung & Management,7.593628638053,7.145420438866,-5.9024245265425535,9.099981709915502
1412,0.0,0.0,0.0,-5.47592398648079,False,1,3,Führung & Management,21.989656515108003,19.072046092383005,-13.2681036682881,7.79217968180731
1420,0.0,0.0,0.0,8.313435397703907,False,1,2,Führung & Management,3.962727218131,2.971007194085,-25.0261996210211,33.339635018725005
1431,0.02115878190695064,0.02018099420505707,0.022435178519043808,-11.966712494310872,False,1,10,Führung & Management,2.6261476175769993,3.431486778191001,30.666180195804966,-42.63289269011584
1439,0.02727085934218725,0.026715523186007374,0.027847389092554974,-12.165368622626788,False,1,4,Führung & Management,2.8143133215609994,2.155181872745,-23.420684675237318,11.25531605261053
2111,0.7753864574775267,0.7211657581367761,0.8500370667448944,7.279471975928281,False,2,2,Ingenieurwesen & Naturwiss.,2.5297063946250002,2.583152246271001,2.112729436094244,5.166742539834037
2113,0.3956271632044005,0.35390863133604267,0.455020123682794,-25.65705168449016,False,2,4,Ingenieurwesen & Naturwiss.,3.3136675753440006,3.974386962397,19.939217559697678,-45.59626924418784
2114,0.3403000956002167,0.320596456019678,0.3668584993845172,1.2700677764207162,False,2,1,Ingenieurwesen & Naturwiss.,1.2140824320839998,1.3645087371050002,12.39012286528109,-11.120055088860372
2131,0.47761478700192167,0.4344826067226493,0.5383530759155163,11.293192447554636,False,2,15,Ingenieurwesen & Naturwiss.,7.189601588097001,8.866294443315,23.321081629806965,-12.027889182252329
2132,0.6369811429902775,0.5733838862895023,0.7271924017859097,24.33092413269468,False,2,1,Ingenieurwesen & Naturwiss.,2.2740320902869997,2.12185711709,-6.691856893619927,31.022781026314608
2133,0.3353922356805041,0.2914016142173783,0.39881552385727764,19.90030126565172,False,2,11,Ingenieurwesen & Naturwiss.,2.1768187290510004,3.499424292972,60.758645001993294,-40.858343736341574
2141,0.35030733001721254,0.30524758820910336,0.4152062121240815,-3.4113833788767387,False,2,2,Ingenieurwesen & Naturwiss.,6.738443048903001,9.624988998978,42.836986661850936,-46.24837004072768
2142,0.5741356234427573,0.498647245826338,0.6829842959303233,-10.828876725506763,False,2,4,Ingenieurwesen & Naturwiss.,9.360620096124999,11.233861333084002,20.01193529619332,-30.840812021700085
2143,0.15251310913126537,0.12935570402226548,0.18613411017566103,13.176421351911834,False,2,3,Ingenieurwesen & Naturwiss.,1.1027319596070002,1.509607549755,36.89705250703038,-23.720631155118546
2144,0.4340289124098309,0.38303565873897166,0.5071080075590491,8.453074726624155,False,2,8,Ingenieurwesen & Naturwiss.,8.092775892352,9.728896910697,20.217055805180518,-11.763981078556363
2145,0.4772928284955516,0.4124729817248537,0.5709110302143539,-4.152217364011823,False,2,1,Ingenieurwesen & Naturwiss.,1.7647783862679995,2.5566012285310005,44.86811763019601,-49.020334994207836
2149,0.5162671748038133,0.45801427590490645,0.5995512269769235,-6.754156071991167,False,2,11,Ingenieurwesen & Naturwiss.,3.902614862813,5.215934733249,33.65230535429675,-40.40646142628792
2151,0.6785514706263375,0.6077810571842143,0.7792322314962852,15.215205434231253,False,2,1,Ingenieurwesen & Naturwiss.,4.370637559049,6.666120611251,52.52055383657734,-37.30534840234609
