soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier,exposure_category,cluster_x,cluster_y,cluster
11-9032.00,0.0,0.0,0.0,0.0,1345,1,1345,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,1,11.028094699376,10.289950045270016,-6.693310805063635,False,Niedrig (0–0.33),0,0,0
11-9041.01,0.3176184402049941,0.4747852165093359,0.4221003446071071,0.5500321561236046,1223,1,1223,Führungskräfte in Forschung und Entwicklung,1,7.978092085696001,9.415763923087622,18.02024621863212,False,Mittel (0.33–0.66),0,0,0
11-9051.00,0.0,0.0,0.0,0.0,1412,1,1412,Führungskräfte in Restaurants,1,19.072046092383005,18.02767534569753,-5.47592398648079,False,Niedrig (0–0.33),0,0,0
11-9071.00,0.0020869081443429,0.003153246451433,0.0026195291149955,0.0039316419037655,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False,Niedrig (0–0.33),0,0,0
11-9072.00,0.0,0.0,0.0,0.0,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False,Niedrig (0–0.33),0,0,0
11-9081.00,0.0,0.0,0.0,0.0,1411,1,1411,Führungskräfte in Hotels,1,7.145420438866,7.373899343391159,3.197557183372949,False,Niedrig (0–0.33),0,0,0
11-9111.00,0.0147467930838786,0.0267531794594144,0.0214869071540835,0.0344761508467629,1342,1,1342,Führungskräfte in der Gesundheitsversorgung,1,4.720166093993001,3.964401059559405,-16.01140763659569,False,Niedrig (0–0.33),0,0,0
11-9121.00,0.232558304598395,0.388774915591372,0.3348104937513865,0.4667983379082315,1223,1,1223,Führungskräfte in Forschung und Entwicklung,1,7.978092085696001,9.415763923087622,18.02024621863212,False,Mittel (0.33–0.66),0,0,0
11-9121.02,0.3236049851546975,0.505916654053596,0.441488539736876,0.5986625418143953,2133,1,2133,Umweltwissenschaftler,2,3.499424292972,4.195820269836831,19.90030126565172,False,Mittel (0.33–0.66),0,0,0
11-9141.00,0.1363401949588505,0.191166198532694,0.1616478350016404,0.2340538550361737,3334,1,3334,Immobilienmakler und -verwalter,3,24.240044403385003,24.23508011848568,-0.0204796856668994,False,Niedrig (0–0.33),0,0,0
11-9151.00,0.0,0.0,0.0,0.0,1344,1,1344,Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen,1,3.260227311051,2.895100305320919,-11.199433993219786,False,Niedrig (0–0.33),0,0,0
11-9179.01,0.0,0.0,0.0,0.0,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False,Niedrig (0–0.33),0,0,0
11-9179.02,0.0,0.0,0.0,0.0,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False,Niedrig (0–0.33),0,0,0
11-9199.01,0.2438493051372715,0.3859806090845601,0.34066116000357,0.4509261246301982,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True,Mittel (0.33–0.66),0,0,0
11-9199.02,0.1911244639046613,0.3016079839448348,0.2650288826433202,0.3541246799854339,2619,1,2619,"Juristen, anderweitig nicht genannt",2,13.337931516611995,13.413769730663356,0.5685905191288955,False,Niedrig (0–0.33),0,0,0
11-9199.09,0.0,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False,Niedrig (0–0.33),0,0,0
11-9199.10,0.080414872230841,0.118658130938963,0.099763221521018,0.1461468990178277,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False,Niedrig (0–0.33),0,0,0
11-9199.11,0.1964811482181725,0.3149231829002506,0.2698972327557996,0.3801150887561707,2143,1,2143,Umweltschutzingenieure,2,1.509607549755,1.708519801270991,13.176421351911834,False,Niedrig (0–0.33),0,0,0
13-1011.00,0.0,0.0,0.0,0.0,2654,1,2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,5.632197512363999,6.4874852608908045,15.185684568931537,False,Niedrig (0–0.33),0,0,0
13-1023.00,0.1636805706502293,0.2606357474563964,0.2194772751753411,0.3204930215748754,3323,1,3323,Einkäufer,3,10.104688062421005,10.266898583215756,1.6052996370863597,False,Niedrig (0–0.33),0,0,0
13-1031.00,0.2998574443202809,0.4392668723903645,0.4080155251726479,0.4823678451257364,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False,Mittel (0.33–0.66),0,0,0
13-1032.00,0.2105677812791856,0.258549655705955,0.2401509013494354,0.2839252998699348,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False,Niedrig (0–0.33),1,1,1
13-1041.00,0.1310790103917861,0.1753345234548464,0.1606027865312157,0.195960852974356,3359,1,3359,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt",3,1.1952449879130005,0.8915400349132869,-25.409431210417218,False,Niedrig (0–0.33),0,0,0
13-1041.03,0.2370728728485302,0.3420275973460842,0.3106361718678379,0.3862869498833256,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True,Mittel (0.33–0.66),0,0,0
13-1041.04,0.1466510732309731,0.2156063370136833,0.1863537591295962,0.2578533076394126,3112,1,3112,Bauführer und Bautechniker,3,38.516833221537,38.94519300831815,1.1121365671922114,False,Niedrig (0–0.33),0,0,0
13-1041.07,0.2266798653967733,0.3358894404571738,0.2991257235170815,0.388352477899035,2619,1,2619,"Juristen, anderweitig nicht genannt",2,13.337931516611995,13.413769730663356,0.5685905191288955,False,Mittel (0.33–0.66),0,0,0
13-1051.00,0.4134746680570697,0.5856956703394058,0.5443680338318686,0.6426469048418044,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False,Mittel (0.33–0.66),0,0,0
13-1071.00,0.1432294775588132,0.1868720963489298,0.1688288587504322,0.2124061499503785,2423,1,2423,Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen,2,22.044454867828005,27.63613744207947,25.365483554832863,False,Niedrig (0–0.33),0,0,0
13-1074.00,0.0,0.0,0.0,0.0,3333,1,3333,Arbeits- und Personalvermittler,3,1.4332020387599995,1.4220041110155557,-0.7813223426707291,False,Niedrig (0–0.33),1,1,1
13-1081.01,0.4244997259931747,0.7205178697346456,0.6143198161110555,0.8744958329531373,1324,1,1324,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1,18.928098152166,21.1017139561925,11.483540430488349,False,Hoch (0.66–1.0),0,0,0
13-1111.00,0.277529822867511,0.474144022932021,0.4097652991587786,0.5671241516598157,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True,Mittel (0.33–0.66),0,0,0
13-1121.00,0.0,0.0,0.0,0.0,3332,1,3332,Konferenz- und Veranstaltungsplaner,3,4.823599589778,6.026339973511182,24.93449883945564,False,Niedrig (0–0.33),0,0,0
13-1131.00,0.1114210239817264,0.1654651673078256,0.1405729290949213,0.2015900281749467,2432,1,2432,Fachkräfte in der Öffentlichkeitsarbeit,2,5.166502693133,5.007895832675806,-3.069907631481635,False,Niedrig (0–0.33),0,0,0
13-1161.01,0.4028054084521292,0.6120915669286863,0.5778312047267572,0.6580725713567955,2431,1,2431,Fachkräfte in Marketing und Werbung,2,43.93795628549201,43.92670158260029,-0.0256149895060899,False,Mittel (0.33–0.66),0,0,0
13-1199.04,0.2363497325903752,0.3654545443993532,0.3203265852115907,0.4303094727326657,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False,Mittel (0.33–0.66),0,0,0
13-1199.06,0.3521515373016189,0.4397902967876926,0.4082227193447141,0.4833655570878004,2431,1,2431,Fachkräfte in Marketing und Werbung,2,43.93795628549201,43.92670158260029,-0.0256149895060899,False,Mittel (0.33–0.66),0,0,0
13-1199.07,0.1406396191200166,0.2271971229965,0.1888481432410251,0.2831207509179746,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False,Niedrig (0–0.33),0,0,0
13-2022.00,0.4795549561061121,0.6422411189897825,0.6453959134716066,0.6312103941603266,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False,Mittel (0.33–0.66),0,0,0
13-2031.00,0.4965601929947205,0.687346140566934,0.6339873077180593,0.7615467650937446,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False,Hoch (0.66–1.0),0,0,0
