soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
11-9121.02,0.32360498515469754,0.0,0.0,0.0,2133,1,2133,Umweltwissenschaftler,2,3.499424292972,4.195820269836831,19.90030126565172,False
11-9141.00,0.1363401949588505,0.0,0.0,0.0,3334,1,3334,Immobilienmakler und -verwalter,3,24.240044403385003,24.235080118485676,-0.0204796856668994,False
11-9151.00,0.0,0.0,0.0,0.0,1344,1,1344,Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen,1,3.260227311051,2.895100305320919,-11.199433993219786,False
11-9179.01,0.0,0.0,0.0,0.0,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False
11-9179.02,0.0,0.0,0.0,0.0,1431,1,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,3.431486778191001,3.0208506211645925,-11.966712494310872,False
11-9199.01,0.24384930513727157,0.0,0.0,0.0,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True
11-9199.02,0.19112446390466134,0.0,0.0,0.0,2619,1,2619,"Juristen, anderweitig nicht genannt",2,13.337931516611995,13.413769730663356,0.5685905191288955,False
11-9199.09,0.0,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
11-9199.10,0.08041487223084108,0.0,0.0,0.0,1219,1,1219,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,11.188193659694004,13.16862356373752,17.701069218868735,False
11-9199.11,0.19648114821817253,0.0,0.0,0.0,2143,1,2143,Umweltschutzingenieure,2,1.509607549755,1.708519801270991,13.176421351911834,False
13-1011.00,0.0,0.0,0.0,0.0,2654,1,2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,5.632197512363999,6.4874852608908045,15.185684568931537,False
13-1023.00,0.1636805706502293,0.0,0.0,0.0,3323,1,3323,Einkäufer,3,10.104688062421005,10.266898583215756,1.6052996370863597,False
13-1031.00,0.29985744432028094,0.0,0.0,0.0,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False
13-1032.00,0.21056778127918563,0.0,0.0,0.0,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False
