soc_code,Knowledge – Administration and Management,Knowledge – Computers and Electronics,Knowledge – Economics and Accounting,Knowledge – Education and Training,Knowledge – English Language,Knowledge – Law and Government,Knowledge – Mathematics,Knowledge – Medicine and Dentistry,Skills – Active Learning,Skills – Active Listening,Skills – Complex Problem Solving,Skills – Coordination,Skills – Critical Thinking,Skills – Instructing,Skills – Learning Strategies,Skills – Management of Financial Resources,Skills – Management of Personnel Resources,Skills – Mathematics,Skills – Monitoring,Skills – Negotiation,Skills – Operations Analysis,Skills – Operations Monitoring,Skills – Persuasion,Skills – Programming,Skills – Quality Control Analysis,Skills – Reading Comprehension,Skills – Science,Skills – Service Orientation,Skills – Social Perceptiveness,Skills – Speaking,Skills – Systems Analysis,Skills – Systems Evaluation,Skills – Technology Design,Skills – Time Management,Skills – Troubleshooting,Skills – Writing,Work Activities – Analyzing Data or Information,Work Activities – Communicating with People Outside the Organization,"Work Activities – Communicating with Supervisors, Peers, or Subordinates",Work Activities – Developing Objectives and Strategies,Work Activities – Documenting/Recording Information,Work Activities – Getting Information,Work Activities – Interpreting the Meaning of Information for Others,Work Activities – Making Decisions and Solving Problems,"Work Activities – Organizing, Planning, and Prioritizing Work",Work Activities – Performing Administrative Activities,Work Activities – Processing Information,Work Activities – Thinking Creatively,Work Activities – Updating and Using Relevant Knowledge
11-1011.00,3.010295145664167,1.045362061645354,2.8556364885107888,0.7252665513645677,1.275854466654729,1.3431906821017656,0.7700185162387868,-0.33949533434600915,1.19487792282501,0.8742934836017323,2.3185516984657024,2.9016211940719177,1.8788617913928394,0.9311786926034964,0.5702826905836984,4.8330210386108945,3.266564788176655,1.1693904162538686,1.7911259075517263,3.0040867308957475,1.7591197744344962,-0.7586214483214677,2.496393403404002,0.282256903283533,-0.8031003966310216,1.1448678080289783,-0.3687430621641382,0.328390413298663,2.0230545280810066,1.4455715958356528,2.4845105762673243,2.83170496785554,0.0771556410465968,2.7427319777860752,-0.709481304373807,1.452521478755513,1.3135274465498161,1.722547006934685,1.6999447301812793,2.4751172541822415,-0.06203185880161608,0.8919371146634582,1.2643670240299936,1.7374460299609487,1.7511055943925105,1.9442789273232575,1.4215523740904803,1.433874457772324,0.959916771007624
11-1011.03,1.9295730539385565,-0.13312525447120085,1.5656678355962605,0.5589588689945831,1.0847735853979492,1.6198148798395735,-0.10688253278351634,-0.5436378121703457,1.19487792282501,0.8742934836017323,1.5642124787957556,1.6102655715048397,1.3120796611820085,0.7067131176457497,1.0243055313813236,2.0335282590843744,1.032098576324444,0.5417969420538247,1.1444630526323971,1.0153324637634493,1.3761219065907389,-0.7586214483214677,2.257246820035235,0.5362750022428966,-0.8031003966310216,0.928921858163747,0.1914396077222464,0.5756245509780729,1.5119791035707384,0.9366877708119978,2.062198102613367,2.176566326806351,0.40134322609487794,0.8604296430528788,-1.3635901713301053,1.452521478755513,1.092392901790814,1.630031694541775,1.8367564861106465,2.3574774220551906,-0.2907183815589172,1.4733190716860933,1.7138080258124244,1.2936699625704327,1.414726259391362,0.7907011491916351,0.5692844602268504,1.4491880293745225,0.9418501269385542
11-1021.00,2.101116243101351,-0.4774024479434534,1.5808439373952556,-0.3784117043635114,0.04251423308824828,0.1313132443932747,0.6677133938528509,-0.6559161749737311,0.9491491308820541,0.8742934836017323,0.8098732591258092,1.9460180333722794,0.7888961563720105,0.2750485504193137,0.36073368713864,2.2787393054662592,2.277862924525234,0.10078531153487619,1.7911259075517263,1.7710590852737222,0.7697086158381242,-0.41706528768842616,1.7390958894029065,-0.20623944086908946,-0.042166303123451154,0.928921858163747,-0.5031869029368707,0.5756245509780729,1.2351465819610106,0.9366877708119978,0.7248752693758361,0.8308761451918039,-0.5462820225077906,1.5890628048850843,-0.3824268708956576,0.4821547089443714,0.8436165389369376,0.42733263343392486,0.7650643979972639,1.248301862000134,0.4239270020576488,0.5219667783763294,0.5979545041456995,0.6885207797651828,1.0573232159526424,0.9509202850432503,0.7738287595541221,0.48443301843599973,0.03851792348506371
11-2011.00,1.8781100971897176,0.37004910521901413,1.338026308611344,-0.1516285011317143,1.275854466654729,-0.3033819234804233,0.1269577469557646,-0.431359449366961,0.24976718458287184,1.1349270593951963,0.5716608739668783,0.9645877602213008,1.0504879087770098,0.06784955815062438,0.36073368713864,1.7678829588373324,1.032098576324444,0.7453407715241095,-0.14886265720626116,1.0153324637634493,1.1686647281753713,-1.27778681248369,1.2608027226653717,0.282256903283533,-1.198786125254958,0.4790344626111826,-0.3687430621641382,0.328390413298663,1.7675168158258727,0.9366877708119978,0.7248752693758361,0.8308761451918039,0.0771556410465968,1.2247462239689815,-1.3635901713301053,0.8734316322553157,-0.2344143667631955,1.4846504893529135,0.559846764103212,0.5424628692378263,-0.4765261812992244,0.257702252456952,-0.502401051942322,-0.3402328310037423,0.9942520906399267,0.4862847910735685,-0.19775666225041655,1.0204080245129568,0.0023846353469242753
11-2021.00,1.7408755458594811,0.6348777155822838,1.4290829194053107,-0.015558579192636193,1.397451391090861,0.5264906697330001,0.6384833588854406,-0.5946734316264298,1.4406067147679655,0.6136599078082681,0.8098732591258092,0.9645877602213008,0.7888961563720105,0.2750485504193137,0.5702826905836984,2.0335282590843744,1.5462235454231823,0.3212911267943506,1.1444630526323971,2.009709597329598,2.1740341312652327,-1.1001776089545088,1.9981713547190711,0.5362750022428966,-0.8031003966310216,0.7129759082985156,-0.22309556799367838,0.328390413298663,1.5119791035707384,0.6924235348006432,0.9536278592717295,1.5037212359990775,0.0771556410465968,1.2247462239689815,-1.3635901713301053,0.09087778563342766,0.44281017656124727,1.2599704449701281,1.6999447301812793,1.6348327389890174,-0.9196063191414959,0.28412870504888915,0.08652164004845046,0.7086924191920236,1.3726788425162175,-0.34685471535482587,-0.45343703640950533,1.3726201713635287,0.09271785569227345
11-2022.00,1.7580298647757602,0.22439336951921451,1.2773219014153665,0.2414623844700677,0.7547247904998784,-0.27703676179110825,-0.3261077950390918,-0.757987413885899,1.19487792282501,0.8742934836017323,1.067936676381317,1.6102655715048397,0.7888961563720105,1.5700422520986217,0.5702826905836984,2.2787393054662592,2.534925409074604,0.7453407715241095,1.4807277371904481,2.765436218839872,0.9612075497600029,-1.1001776089545088,2.257246820035235,0.028238804324169635,-1.00094326094299,0.7129759082985156,-0.3687430621641382,1.2792909428348564,1.5119791035707384,0.9366877708119978,1.6046929228215805,1.7161986330961119,-0.5462820225077906,1.9837391008775285,-1.3635901713301053,0.6699676321336249,0.7192283575099997,1.722547006934685,1.585934933573473,1.9373351644585775,-0.03344604345695402,0.17842289468113792,0.41197891720124563,1.2936699625704327,0.8470861315769245,0.5503724454142137,0.3817855191768529,0.7294501640711801,0.3095175845211118
11-2033.00,2.15257919985019,-0.8746453634883595,1.9754225841691107,-0.8319781108271049,0.7720957797050396,-0.1716561150338477,-0.01919242788128584,-0.7681945377771159,0.49549597652582755,0.8742934836017323,0.8098732591258092,1.6102655715048397,1.3120796611820085,-0.3810815917648686,-0.3028381571040433,2.789595652095187,1.032098576324444,0.7453407715241095,-0.4851273417643121,1.5324085732178463,-0.02820360883636927,-1.1001776089545088,2.496393403404002,0.5362750022428966,-1.7618773544505608,0.7129759082985156,-0.783278237880063,0.8228586886574834,1.7675168158258727,1.1809520068233523,0.7248752693758361,0.6183987480947696,0.0771556410465968,1.2247462239689815,-1.3635901713301053,1.076895632377006,-0.0409216400990689,0.9163421417964575,0.8106683166403874,1.3323303135194573,0.1666546639556839,0.3105551576408263,-0.2854295338404586,-0.8445238166747842,0.7840150062642107,1.1271613344800246,0.7226926847223037,0.16284801478982547,0.7069837540406473
11-3012.00,2.083961924185072,0.4230148272916683,1.1559130870234104,-0.302817303286246,0.6157568768585845,0.5528358314223152,0.27310792179281473,-0.06390298928315485,0.004038392639916068,0.8742934836017323,0.07538507155243959,1.6102655715048397,0.5055050912665956,0.2750485504193137,0.36073368713864,2.0335282590843744,1.5462235454231823,-0.5268081626651672,0.1874020273517898,2.009709597329598,1.1686647281753713,-0.41706528768842616,0.5035052086642756,-0.44071768606234835,-0.24000916743541936,0.928921858163747,-1.063369572823255,0.5756245509780729,0.17040611423128565,0.6924235348006432,0.7248752693758361,0.17573750414261588,-0.5462820225077906,2.7427319777860752,-0.21235856548702056,0.8734316322553157,0.09728745037530788,0.7841774098065828,0.9930839912128786,-0.23059888473993959,0.4382199097299796,1.050495830215087,-0.09945394689600408,0.46663274606992344,1.4567736762665047,1.9603008409084195,0.24542265295867174,0.11690729998322924,0.1649844319685529
11-3013.00,2.032498967436233,0.29060052211003207,1.1255608834254218,0.34729454597823933,0.16411115752437963,0.38159228044176724,0.05388265953723892,0.14023948854118162,0.004038392639916068,0.33130686736534953,0.3334484888079473,1.2745131096374,0.5055050912665956,0.7067131176457497,0.36073368713864,1.2570266122084055,1.7835119926995238,0.3212911267943506,1.1444630526323971,0.7766819517075734,-0.21970254275824788,0.4436562371068371,0.7426517920330432,0.028238804324169635,0.7187677903841201,0.4790344626111826,-0.5031869029368707,0.10017428620997611,0.9583140603512822,0.6924235348006432,0.5137190325488573,0.6183987480947696,-0.24703194400168452,0.8604296430528788,0.7557225576083016,0.09087778563342766,0.5948401760830601,1.0485068737863306,0.9930839912128786,1.0802449589614895,0.3524624636959922,0.5219667783763294,0.6599463664605165,1.0112670105946495,1.330631425641075,1.3354462110871248,-0.027303079477689837,1.2960523133525352,0.5624506014880885
11-3013.01,1.9467273728548355,0.5819119935096307,0.7158061348525712,0.9218119941654583,1.1195155638082739,2.3047890837617646,-0.9107084943872935,0.007546877955362878,0.9491491308820541,1.1349270593951963,1.5642124787957556,1.9460180333722794,1.595470726287424,0.9311786926034964,1.0243055313813236,3.5456630451059996,2.277862924525234,-0.10275851793540824,1.7911259075517263,1.5324085732178463,0.37075250350087763,-0.41706528768842616,1.2608027226653717,0.028238804324169635,0.14045787931836598,1.1448678080289783,-0.6376307437096032,0.8228586886574834,1.7675168158258727,0.9366877708119978,0.9536278592717295,1.2912438389020433,-0.24703194400168452,1.2247462239689815,-0.0553724374175087,0.8734316322553157,0.9403629022690012,0.9295586149954442,1.0158859505344393,1.5171929068619658,0.6526135248149488,0.6012461361521436,0.5359626418308814,1.3340132414241168,0.6368490472012077,0.870810717117443,0.46701231056321557,0.6222551628557884,0.6889171099715776
