soc_code,isco_4digit
25-4022.00,2621
25-4031.00,2621
25-9031.00,2351
25-9042.00,2352
25-9044.00,2310
27-1011.00,2166
27-1012.00,2651
27-1013.00,2651
27-1014.00,2166
27-1021.00,2163
27-1022.00,2163
27-1023.00,2131
27-1024.00,2166
27-1025.00,3432
27-1026.00,3432
27-1027.00,3432
27-2011.00,2659
27-2012.00,2654
27-2012.03,2654
27-2012.04,2166
27-2012.05,2654
27-2021.00,3421
27-2022.00,3422
27-2023.00,3422
27-2031.00,2659
27-2032.00,2653
27-2041.00,2652
27-2042.00,2652
27-3011.00,2642
27-3023.00,2642
27-3031.00,2432
27-3041.00,2642
27-3042.00,2641
27-3043.00,2641
27-3043.05,2641
27-3091.00,2643
27-3092.00,2643
27-4011.00,3521
27-4012.00,3521
27-4014.00,3521
27-4021.00,3431
27-4031.00,3521
27-4032.00,2654
29-1011.00,2269
29-1021.00,2261
29-1022.00,2261
29-1023.00,2261
29-1024.00,3214
29-1031.00,2265
29-1041.00,2267
29-1051.00,2262
29-1071.00,3256
29-1071.01,3259
29-1081.00,2269
29-1122.00,2269
29-1122.01,2269
29-1123.00,2264
29-1124.00,2269
29-1125.00,2269
29-1126.00,3259
29-1127.00,2269
29-1128.00,3255
29-1129.01,2269
29-1129.02,2269
29-1131.00,2250
29-1141.00,2221
29-1141.01,2221
29-1141.02,2221
29-1141.03,2221
29-1141.04,2221
29-1151.00,3259
29-1161.00,2221
29-1171.00,2221
29-1181.00,2266
29-1211.00,2212
29-1213.00,2212
29-1214.00,3259
29-1215.00,2635
29-1216.00,2269
29-1217.00,2212
29-1218.00,2212
29-1221.00,2212
29-1222.00,2131
29-1223.00,2212
29-1224.00,2269
29-1229.01,2131
29-1229.02,2211
29-1229.03,2212
29-1229.04,2212
29-1229.05,2212
29-1229.06,2212
29-1241.00,2212
29-1291.00,2230
29-1292.00,3251
29-1299.01,2230
29-1299.02,2267
29-2011.00,3212
29-2011.01,2131
29-2011.02,3212
29-2011.04,3212
29-2012.00,3212
29-2012.01,3212
29-2031.00,3211
29-2032.00,2269
29-2033.00,2269
29-2034.00,2269
29-2035.00,2269
29-2036.00,2269
29-2051.00,3259
29-2052.00,2262
29-2053.00,2269
29-2055.00,3214
29-2056.00,3240
29-2057.00,2267
29-2061.00,2635
29-2081.00,3254
29-2091.00,3214
29-2092.00,3214
29-2099.01,2269
29-2099.05,2267
29-9091.00,2269
29-9092.00,2131
29-9093.00,3256
29-9099.01,2221
31-1121.00,3412
31-1122.00,3412
31-1131.00,2221
31-1132.00,3258
31-2011.00,2269
31-2012.00,2269
31-2021.00,3255
31-2022.00,2269
31-9011.00,3255
31-9091.00,3251
31-9092.00,3259
31-9093.00,3212
31-9094.00,3252
31-9095.00,2262
31-9096.00,3240
31-9097.00,3212
31-9099.01,2266
31-9099.02,3211
33-1011.00,1349
33-1012.00,3355
33-1021.00,1112
33-1091.00,1219
33-2011.00,3112
33-2021.00,3112
33-2022.00,3359
33-3011.00,3411
33-3012.00,1349
33-3021.00,3355
33-3021.02,3355
33-3021.06,2422
33-3031.00,2133
33-3041.00,1112
33-3051.00,3355
33-3051.04,3351
33-3052.00,3355
33-9021.00,3411
33-9031.00,3359
33-9091.00,3112
33-9092.00,3422
33-9093.00,3351
33-9099.02,3411
35-1011.00,3434
35-1012.00,1412
35-2012.00,3434
35-2013.00,3434
35-2014.00,3434
35-3011.00,1412
35-9031.00,2431
37-1011.00,1219
37-1012.00,2131
37-3011.00,2162
37-3012.00,3141
37-3013.00,1311
39-1013.00,1431
39-1022.00,1439
39-3011.00,1431
39-3012.00,1431
39-3021.00,3521
39-3031.00,3411
39-3091.00,1411
39-3092.00,3435
39-3093.00,3423
39-4011.00,3433
39-4031.00,2635
39-5091.00,3435
39-5092.00,3435
39-5093.00,1431
39-7011.00,1439
39-7012.00,1439
39-9011.00,1341
39-9011.01,1341
39-9031.00,3423
39-9032.00,3423
39-9041.00,3412
41-1011.00,1420
