ch_isco_4digit,delta_bfs,is_outlier,main_group,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,ads_2022,ads_2024,ads_2020
1112,14.44437869484354,False,1,-10.781313309826974,51.67434501575623,-62.4556583255832,False,869.9775,776.1825,573.5825
1120,1.7107154846984889,False,1,-17.090807056925406,37.70316662706209,-54.793973683987495,False,1781.9375,1477.3899999999999,1294.0425
1210,5.024012734037623,False,1,-32.856409711899204,99.14713656387667,-132.00354627577588,False,282.54,189.7075,141.875
1211,-7.322497252721817,False,1,-12.743887823585801,48.46842999617441,-61.21231781976021,False,417.2,364.0325,281.0025
1212,1.1763416091004855,False,1,-21.42587381065506,71.75050217609642,-93.17637598675148,False,410.41499999999996,322.48,238.95999999999998
1213,14.891225113959267,False,1,-45.053402036965274,71.80032255335638,-116.85372459032166,False,1573.91,864.81,916.1275
1219,17.701069218868735,False,1,-17.653039377686536,63.71598499980904,-81.36902437749558,False,9107.95,7500.12,5563.2625
1221,4.713553274620107,False,1,-23.783749191636133,55.15982618102571,-78.94357537266184,False,1484.48,1131.415,956.7425000000001
1222,24.822488149598072,False,1,-31.154487357599326,67.13104857434753,-98.28553593194685,False,179.95,123.8875,107.67
1223,18.020246218632117,False,1,-30.26370711165117,35.95081967213117,-66.21452678378233,False,269.52250000000004,187.955,198.25
1321,-1.8948689340589904,False,1,-20.529717399569126,46.59695590440425,-67.12667330397338,False,552.37,438.97,376.795
1323,2.2999481365712273,False,1,13.79135811978038,26.053065923244432,-12.261707803464052,False,227.2075,258.5425,180.2475
1324,11.483540430488347,False,1,-28.259697449227843,68.31344946398403,-96.57314691321187,False,570.3175,409.1475,338.8425
1330,-5.374491292676939,False,1,-63.939439309515066,125.10595891606697,-189.04539822558203,False,2320.9775,836.9575,1031.06
1341,-11.554476973672669,False,1,-9.42374870003466,50.81235421861175,-60.23610291864641,False,93.7525,84.9175,62.165
1342,-16.01140763659569,False,1,-18.175368711415835,28.127258355916883,-46.30262706733272,False,567.3475,464.23,442.8
1345,-6.693310805063635,False,1,10.840357552476847,38.47705242459003,-27.636694872113182,False,274.645,304.4175,198.33249999999998
1346,-3.3706971997394213,False,1,-9.588863988967418,84.10028562361158,-93.689149612579,False,232.04000000000002,209.79000000000002,126.03999999999999
1349,4.65508308680129,False,1,-23.9303934336133,36.74966506551647,-60.68005849912977,False,418.495,318.3475,306.03
1412,-5.47592398648079,False,1,-13.71584741640867,82.32478921216727,-96.04063662857594,False,323.8225,279.4075,177.6075
1420,8.313435397703907,False,1,-26.66686222170074,40.052995912330786,-66.71985813403153,False,170.45499999999998,125.0,121.7075
1439,-12.165368622626788,False,1,-13.079363645601628,47.08217085160087,-60.161534497202496,False,221.4175,192.4575,150.54000000000002
2000,-6.039036200333869,False,2,-21.673096869139002,28.037904889127415,-49.71100175826642,False,1634.215,1280.03,1276.3525
2111,7.279471975928281,False,2,7.3452661692503955,16.607311905513246,-9.26204573626285,False,64.6675,69.4175,55.457499999999996
2113,-25.657051684490156,False,2,-36.12786768903219,45.84627154493496,-81.97413923396715,False,162.0425,103.5,111.105
2120,30.77306189244979,False,2,-30.24204437243279,14.397437565036414,-44.639481937469206,False,175.89749999999998,122.70250000000001,153.76
2131,11.293192447554636,False,2,-34.029719317556406,72.37126702842183,-106.40098634597823,False,113.5625,74.9175,65.8825
2141,-3.4113833788767387,False,2,-21.577575764990886,95.80518422691775,-117.38275999190863,False,204.3325,160.2425,104.355
2142,-10.828876725506763,False,2,-2.0724508005378595,29.651976668826958,-31.724427469364816,False,500.1325,489.7675,385.75
2143,13.176421351911834,False,2,3.1675535257887466,41.36705561807738,-38.19950209228863,False,59.667500000000004,61.557500000000005,42.207499999999996
2144,8.453074726624155,False,2,-15.349120869004878,99.8206525488032,-115.16977341780807,False,217.26,183.9125,108.72749999999999
2149,-6.754156071991167,False,2,-24.227522499582886,66.8152877828713,-91.04281028245418,False,4585.085,3474.2325,2748.6
2151,15.215205434231253,False,2,-33.20399271624829,64.36473611633443,-97.5687288325827,False,262.22749999999996,175.1575,159.54000000000002
2152,11.772856190832965,False,2,-33.937092718969666,112.3524497875277,-146.28954250649736,False,146.1675,96.5625,68.8325
2161,9.894978048683711,False,2,-23.24250497060319,49.43897862750411,-72.6814835981073,False,702.8824999999999,539.515,470.3475
2162,5.71050797940129,False,2,-32.83744741243854,56.164166699647744,-89.00161411208629,False,98.645,66.2525,63.167500000000004
2163,1.1065884083467579,False,2,-37.318424197848685,100.96073903002312,-138.2791632278718,False,217.54000000000002,136.3575,108.25
