ch_isco_4digit,employed_2022,employed_2024,delta_bfs,is_outlier
1000,24.955024976774002,24.630788948481978,-1.2992815218329572,False
1111,1.387182068059,1.9787114438463493,42.6425189171484,True
1112,12.438160335807,14.234775317382786,14.44437869484354,False
1114,4.703928429125999,4.185871712683878,-11.013278034469955,False
1120,134.88761828972696,137.1951616627503,1.7107154846984889,False
1210,20.714011721231,21.75468630783569,5.024012734037623,False
1211,21.499894461504997,19.925565280223204,-7.322497252721817,False
1212,13.564983511046998,13.724554056355064,1.1763416091004855,False
1213,9.659562438964002,11.097989626773586,14.891225113959267,False
1219,11.188193659694003,13.16862356373752,17.701069218868735,False
1221,52.72827724799202,55.213652686865515,4.713553274620107,False
1222,6.314030830859999,7.881330385612191,24.822488149598072,False
1223,7.978092085696001,9.415763923087622,18.020246218632117,False
1311,0.461633413851,0.7439693523178712,61.1602041783743,True
1320,3.0180906815640003,3.3706337311196566,11.680995925972823,False
1321,34.40472682012501,33.7528023397626,-1.8948689340589904,False
1323,7.393838464748998,7.563892914740079,2.2999481365712273,False
1324,18.928098152166,21.1017139561925,11.483540430488347,False
1330,13.125622336173002,12.420186906605725,-5.374491292676939,False
1340,1.6062307414830002,1.4807775384960054,-7.810409784036783,False
1341,3.9225399759319997,3.4693109976298313,-11.554476973672669,False
1342,4.720166093993001,3.964401059559405,-16.01140763659569,False
1343,0.276247452,0.3537436943978151,28.05319717403768,False
1344,3.260227311051,2.895100305320919,-11.199433993219786,False
1345,11.028094699376,10.289950045270016,-6.693310805063635,False
1346,6.725526100810001,6.498828980862254,-3.3706971997394213,False
1349,8.184198786407,8.565180039903229,4.65508308680129,False
1411,7.145420438866,7.373899343391159,3.1975571833729495,False
1412,19.072046092383005,18.02767534569753,-5.47592398648079,False
1420,2.971007194085,3.217999957826392,8.313435397703907,False
1431,3.4314867781910006,3.0208506211645925,-11.966712494310872,False
1439,2.155181872745,1.8929960534375394,-12.165368622626788,False
2000,42.37441454360201,39.81540830963434,-6.039036200333869,False
2100,1.0249076743880001,1.0937976258317808,6.7215763102678165,False
2111,2.583152246271001,2.7711920901338605,7.279471975928281,False
2112,0.43043126446999996,0.27465296797867916,-36.191213173869755,True
2113,3.9743869623969994,2.954676445313163,-25.657051684490156,False
2114,1.3645087371050002,1.381838922881416,1.2700677764207162,False
2120,8.721144665276999,11.404907910852772,30.77306189244979,False
2131,8.866294443315,9.867582137765407,11.293192447554636,False
2132,2.1218571170899994,2.6381245624533496,24.33092413269468,False
2133,3.499424292972,4.1958202698368305,19.90030126565172,False
2140,9.871964929265,10.917043907003045,10.586331953428596,False
2141,9.624988998978,9.29664372404815,-3.4113833788767387,False
2142,11.233861333084002,10.017360337809965,-10.828876725506763,False
2143,1.509607549755,1.708519801270991,13.176421351911834,False
2144,9.728896910697,10.551287836634446,8.453074726624155,False
2145,2.5566012285310005,2.4504455883913967,-4.152217364011823,False
2149,5.215934733249,4.863642360752166,-6.754156071991167,False
2151,6.666120611251,7.680384556746472,15.215205434231253,False
2152,3.0999152721219994,3.4648638391465907,11.772856190832965,False
2153,1.651368126398,1.1481756527764473,-30.471247784049645,True
2161,28.544426125306003,31.36889082452777,9.894978048683711,False
2162,1.572515060856,1.6623136588834688,5.71050797940129,False
2163,5.2040786091180005,5.261666339767753,1.1065884083467579,False
2164,2.9864361373189996,4.022007269050025,34.67581706470658,False
2165,1.377854227406,1.5452771434024477,12.150989028182206,False
2166,12.445369746458999,13.714818712509935,10.20017076159689,False
2210,11.327886170486,11.206560836924002,-1.0710324215483613,False
