ch_isco_4digit,emp_2021,emp_2022,emp_2023,emp_2024,delta_2021_2022,delta_2022_2023,delta_2023_2024
1000,18.826906096100007,24.955024976774002,23.297917338209686,24.630788948481978,32.549792564926186,-6.640376597926108,5.720990382630982
1111,1.6498628685109997,1.387182068059,1.5161374857943337,1.9787114438463493,-15.921371737341364,9.296214296928834,30.510027117340492
1112,13.929857518733998,12.438160335807,14.665467258858627,14.234775317382786,-10.708632022408294,17.907044634564254,-2.9367761277137814
1114,4.383986163097,4.703928429125999,4.812064174546001,4.185871712683878,7.297976182547544,2.2988390884189944,-13.01296988461718
1120,126.624221170599,134.88761828972696,127.62889320548814,137.1951616627503,6.525921378023564,-5.381313108107301,7.495378371620018
1210,18.073754958258,20.714011721231,21.32163139936094,21.75468630783569,14.608235914843204,2.9333751776685273,2.0310589765083895
1211,24.895541103104996,21.499894461504997,22.323124683697376,19.925565280223204,-13.639577575506042,3.828996573291795,-10.740250020755898
1212,14.547703834372,13.564983511046998,14.428837183833771,13.724554056355064,-6.75515761465475,6.368261871334166,-4.881080287383058
1213,9.468431270759,9.659562438964002,10.284508512895606,11.097989626773586,2.0186149398925832,6.469714108485328,7.9097714086965585
1219,13.752846313833004,11.188193659694003,13.114692507293038,13.16862356373752,-18.648159047334083,17.219033797558744,0.4112262366387346
1221,48.753022781085996,52.72827724799202,51.31182336541521,55.213652686865515,8.153862550750894,-2.686326875264546,7.604152543291197
1222,7.8885668557900015,6.314030830859999,6.663723801663054,7.881330385612191,-19.95972213602188,5.538347533780179,18.272164636314322
1223,8.27540153929,7.978092085696001,9.018892143448,9.415763923087622,-3.592689154507265,13.04572630363667,4.4004493382032575
1311,0.7134644523079999,0.461633413851,0.6658799945983909,0.7439693523178712,-35.29692861954746,44.24432344347477,11.727241898381106
1320,2.36581972883,3.0180906815640003,3.149594584620352,3.3706337311196566,27.570610929708344,4.357188598064436,7.0180190040537616
1321,33.35738725893899,34.40472682012501,36.11163617213804,33.7528023397626,3.1397529820185754,4.961264075535612,-6.5320602509708445
1323,7.4996880893650015,7.393838464748998,7.547278470532264,7.563892914740079,-1.4113870250964762,2.075241520555386,0.22013821634758612
1324,20.460007907677007,18.928098152166,22.308966661177966,21.1017139561925,-7.487337064694888,17.861638722668403,-5.411513331481748
1330,11.272674396372002,13.125622336173002,11.704642258312191,12.420186906605725,16.43751850401492,-10.826001552282374,6.1133406088117
1340,1.8529125688320003,1.6062307414830002,1.74860455909148,1.4807775384960054,-13.313193050684424,8.863845892840343,-15.316614565767184
1341,3.8166042178679995,3.9225399759319997,3.7916762811201323,3.4693109976298313,2.7756547972159686,-3.3361978619675883,-8.501919984452583
1342,3.740583165733,4.720166093993001,4.92047619258787,3.964401059559405,26.18797350193503,4.243708687492771,-19.430540777103687
1343,0.3958326947940001,0.276247452,0.3877459161870614,0.3537436943978151,-30.211057440880378,40.36180727815777,-8.769201781313535
1344,3.4642931468569995,3.260227311051,3.783277480861103,2.895100305320919,-5.890547570754496,16.04336507571575,-23.4763952692687
1345,9.678058999902001,11.028094699376,10.117109797840817,10.289950045270016,13.949446882765121,-8.260582869194344,1.7083954892541255
1346,6.908497327621,6.725526100810001,6.75685681473162,6.498828980862254,-2.6484952969361175,0.4658477783298747,-3.8187553909208383
1349,8.071556905549002,8.184198786407,7.785319066567921,8.565180039903229,1.3955409368489924,-4.873778487658091,10.017071447774349
1411,6.483408213282999,7.145420438866,7.369898060306392,7.373899343391159,10.210867553067098,3.1415593156617265,0.05429224464199081
1412,16.947616560114,19.072046092383005,18.68440185210835,18.02767534569753,12.53527022359488,-2.032525710125411,-3.514838267818109
1420,3.0517886298469996,2.971007194085,2.637679124473844,3.217999957826392,-2.647019356843523,-11.219362587703628,22.001191424992168
1431,3.376376737056,3.4314867781910006,3.29720082978757,3.0208506211645925,1.6322242873599888,-3.9133459367202654,-8.3813580940043
1439,2.177876631289,2.155181872745,2.0595698270391027,1.8929960534375394,-1.042058958618235,-4.436379449689723,-8.087794422636042
2000,40.568172548347995,42.37441454360201,43.31925794746924,39.81540830963434,4.452362238159446,2.229749753580704,-8.088434114184995
2100,0.7681661065490001,1.0249076743880001,1.3947715496578144,1.0937976258317808,33.422662839475706,36.08753105402103,-21.57872548374484
2111,1.8220920952820001,2.583152246271001,2.9632009327521978,2.7711920901338605,41.768478824952794,14.712593383910267,-6.479778016268406
2112,0.212879482832,0.43043126446999996,0.2290172295365534,0.27465296797867916,102.19480935590548,-46.79354209584481,19.926770808674835
2113,3.621571232895001,3.9743869623969994,4.234877981019627,2.954676445313163,9.742062403670179,6.554243990009537,-30.229950932334336
2114,1.24033172949,1.3645087371050002,1.798270526858033,1.381838922881416,10.011596467507875,31.788861291817028,-23.157339107604287
2120,7.300455221969,8.721144665276999,12.199208114185423,11.404907910852772,19.46028569605863,39.88081361333495,-6.511080029932646
2131,7.960200875612001,8.866294443315,10.117051454394396,9.867582137765407,11.382797769325597,14.106874287515229,-2.465830264415932
2132,2.078730399344,2.1218571170899994,2.582267493234486,2.6381245624533496,2.0746662366418143,21.698462749269,2.1631015905675346
2133,3.388119609815,3.499424292972,3.6946487091044267,4.1958202698368305,3.2851462160474743,5.578758098139226,13.564796011523558
2140,11.005335578978,9.871964929265,9.224116426702352,10.917043907003045,-10.29837428926679,-6.562508145081932,18.35327528390618
2141,8.057754658346001,9.624988998978,8.82427553945819,9.29664372404815,19.450013149863054,-8.319110386565969,5.353053431726407
2142,9.07337114338,11.233861333084002,11.26466118767835,10.017360337809965,23.811328287615712,0.2741697950609464,-11.072688553054064
2143,1.6717328206760003,1.509607549755,1.6901033665279839,1.708519801270991,-9.69803720521808,11.956472846355142,1.0896632186965238
2144,9.155806979964002,9.728896910697,10.826961345284948,10.551287836634446,6.259305509466419,11.28662832659495,-2.546176160225749
2145,1.5406187485840004,2.5566012285310005,2.2665261570466235,2.4504455883913967,65.94639205064853,-11.346121102001169,8.114595579361314
2149,4.913457239931,5.215934733249,5.194998191035209,4.863642360752166,6.156103097017042,-0.4013957858853363,-6.378362765454846
2151,6.968672608885998,6.666120611251,7.552098326212603,7.680384556746472,-4.341601544736128,13.290754347682512,1.6986832664585463
2152,2.9670333019660005,3.0999152721219994,2.916885380136301,3.4648638391465907,4.478614044134567,-5.90435143927041,18.786424133837023
2153,1.8677481912489993,1.651368126398,1.5617970530016958,1.1481756527764473,-11.585076931933834,-5.4240524547169615,-26.483684255280725
2161,29.703093257996997,28.544426125306003,31.10773485666115,31.36889082452777,-3.900829865182625,8.98006749234538,0.8395210036024188
2162,1.2499451361840002,1.572515060856,1.6669165559020183,1.6623136588834688,25.806726658162326,6.003217227988317,-0.2761324196014521
2163,5.008733455688,5.2040786091180005,5.8546871107661,5.261666339767753,3.900090814538427,12.501896118713047,-10.128991691252788
2164,3.1611415084239995,2.9864361373189996,3.5234590503251666,4.022007269050025,-5.526654553092122,17.982065857543038,14.149397271378806
2165,1.765729777487,1.377854227406,1.6421878620061157,1.5452771434024477,-21.96686916800075,19.18444123786303,-5.901317434247791
2166,13.159296641316,12.445369746458999,14.016210958775133,13.714818712509935,-5.425266367318589,12.621892674286158,-2.1503118578313463
2210,11.819269754359,11.327886170486,10.296902720607322,11.206560836924002,-4.157478372906888,-9.101287163043988,8.834288727387595
2211,4.1504258025850005,5.371215956091,4.6103821254434525,6.656084561757095,29.413612279146346,-14.165020302055748,44.37164600790819
2212,34.561240385100994,37.08194504008001,37.45529991628415,36.04718718310065,7.293443831563592,1.0068373592609527,-3.759448559565015
2221,93.731675876024,91.542329713691,98.71253954762184,96.54473765794795,-2.335759114377488,7.832671351446356,-2.1960754931526045
2222,4.195435949231,3.833663934056,3.997581588262413,4.328192560162607,-8.62298982877598,4.2757439625905995,8.270274529753799
2230,7.731985600972002,8.390799604639,8.50922225724616,7.937659127565956,8.520631538477996,1.411339302415089,-6.716984377667187
2250,3.195185529612,4.151707657170999,4.4025615407571586,4.017170800238256,29.936356392899434,6.042185633009926,-8.7537842901481
2261,5.953760538940998,5.662456788252,6.210352909245147,6.352450001581966,-4.892769011848983,9.675943525606705,2.288067915195021
2262,5.736978545017,6.54283315089,6.423525769440104,6.128972790338944,14.046672818272008,-1.8234819488506555,-4.585534326062722
2264,16.939535405321,16.459361803371998,19.53370565835395,20.11341723279264,-2.8346326534916106,18.678390399997866,2.9677501267700617
2265,2.63833840226,2.6122524179290005,2.5543204419159786,2.5463057783204466,-0.9887277655002203,-2.217702072564278,-0.31376891732191203
2266,4.677271858738001,4.0476662868119995,4.7415136577531936,4.254445988748661,-13.460957390145772,17.14191145653162,-10.27240885846849
2267,0.8294753392500002,1.084923443269,1.3882212131819174,1.0947607998133952,30.79634703184454,27.955684043387063,-21.13931199018971
2269,13.999675078045003,14.319088591201,15.914269356581613,16.22186493810018,2.281578046457072,11.1402395146912,1.9328288005339966
2300,7.406127201695001,7.533233443666002,8.482633938639818,8.07510374167042,1.7162308789661462,12.602828547309647,-4.804288383977413
2310,15.585290664772005,16.214208988428997,18.43660545188797,17.17445899551822,4.035332655543976,13.706474765712906,-6.845872249441147
2320,14.302405707434003,13.416577980547006,15.019245346760101,11.345376912521528,-6.1935575385514925,11.945425789920789,-24.461072107268603
2330,41.979310772163,41.82404447045,45.9325670772878,50.1786723693133,-0.369863865930733,9.823350799420181,9.244215079206974
2341,57.745269064552005,60.216806100597005,60.562900316499146,65.42008957771625,4.280068438649285,0.5747468826625631,8.020073734635632
2342,24.557990714040002,25.699583072334,25.420831481768094,24.823979744352535,4.64855765924425,-1.0846541353660615,-2.347884402772675
2351,6.1927758856600015,5.918517435153998,6.221690456186692,6.4573758349139485,-4.428683607638327,5.122448727310465,3.7881244717486258
2352,17.206865227245,17.397115878819,15.318759263022,16.650613559593914,1.1056671221714562,-11.94655844264049,8.694270036522349
