soc_code,isco_4digit,mapping_stage
25-1081.00,2310,1
37-3013.00,1311,1
19-3094.00,2633,1
11-9013.00,1311,1
51-9194.00,2651,1
23-2093.00,3315,1
11-9199.09,2149,1
29-1023.00,2261,1
19-4013.00,3111,1
11-9111.00,1342,1
17-2151.00,2142,1
19-4071.00,2133,1
51-9195.03,2651,1
29-1123.00,2264,1
29-1071.01,3259,1
17-3024.01,3119,1
47-5041.00,3121,1
39-3093.00,3423,1
41-4012.00,3324,1
19-1031.00,2133,1
47-5044.00,3121,1
49-2092.00,3113,1
31-1132.00,3258,1
53-6041.00,3112,1
33-3021.00,3355,1
53-1042.00,3123,1
47-4011.01,3112,1
49-2022.00,2153,1
13-1071.00,2423,1
33-1021.00,1112,1
17-3011.00,3118,1
33-3012.00,1349,1
17-2199.06,2152,1
25-2058.00,2352,1
19-1029.04,2131,1
39-3091.00,1411,1
29-1024.00,3214,1
29-1141.00,2221,1
51-2023.00,3113,1
39-9041.00,3412,1
17-2121.00,2144,1
43-4141.00,2412,1
47-2043.00,3123,1
19-3099.01,2164,1
33-9031.00,3359,1
45-2011.00,3359,1
15-1232.00,3512,1
29-2032.00,2269,1
29-2012.01,3212,1
43-5111.00,3359,1
47-2021.00,3123,1
13-1121.00,3332,1
15-1299.01,2521,1
29-1229.05,2212,1
53-1041.00,3153,1
15-1299.08,2511,1
13-1011.00,2654,1
17-2112.03,2141,1
29-1229.01,2131,1
51-9012.00,3139,1
19-2041.02,2133,1
33-9091.00,3112,1
39-9011.00,1341,1
49-2011.00,3512,1
43-4131.00,3312,1
11-3013.00,1219,1
45-4023.00,3122,1
11-9081.00,1411,1
31-9092.00,3259,1
17-2051.01,2142,1
21-1093.00,2635,1
25-2023.00,2330,1
43-3011.00,3312,1
43-3041.00,1431,1
29-1051.00,2262,1
13-1041.00,3359,1
15-1252.00,2512,1
39-9031.00,3423,1
41-3021.00,3321,1
49-9071.00,2621,1
23-2011.00,3411,1
51-8021.00,2144,1
25-1193.00,2310,1
