ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,main_group,delta_2020_2021,delta_2021_2022,delta_2022_2023,delta_2023_2024
1112,573.5825,663.175,869.9775,874.085,776.1825,739.145,1,15.61981057650817,31.18369962679534,0.47213864726387444,-11.200569738640983
1120,1294.0425,1487.8175,1781.9375,1687.7425,1477.3899999999999,1530.7875,1,14.97439226300528,19.768553602844428,-5.286100101715124,-12.463542276146994
1200,152.83499999999998,186.14749999999998,252.52249999999998,231.5825,210.7175,171.73,1,21.796381718847122,35.65720732215045,-8.2923303864012,-9.009748145909128
1210,141.875,220.16750000000002,282.54,237.77,189.7075,187.355,1,55.18414096916301,28.3295672612897,-15.845543993770796,-20.213862135677335
1211,281.0025,331.52,417.2,423.4425,364.0325,326.9375,1,17.977598064074158,25.8445945945946,1.496284755512945,-14.03024023332565
1212,238.95999999999998,298.03,410.41499999999996,391.28999999999996,322.48,317.5625,1,24.719618346166722,37.70929101097205,-4.6599174006798,-17.585422576605573
1213,916.1275,1225.135,1573.91,1175.075,864.81,765.885,1,33.72974831560017,28.46829124953577,-25.34039430462987,-26.40384656298535
1219,5563.2625,7308.2075,9107.95,8455.7825,7500.12,6819.615,1,31.365498212604574,24.62631910766081,-7.160420292162356,-11.301881286563361
1221,956.7425000000001,1201.9725,1484.48,1277.1475,1131.415,1034.705,1,25.631766123068644,23.503657529602375,-13.96667519939642,-11.410780665506534
1222,107.67,120.5375,179.95,163.715,123.8875,104.91499999999999,1,11.950868394167356,49.289640153479205,-9.021950541817164,-24.32733714076291
1223,198.25,267.28999999999996,269.52250000000004,240.685,187.955,192.85750000000002,1,34.8247162673392,0.8352351378652673,-10.699477780148236,-21.908303384091234
1321,376.795,465.895,552.37,511.5875,438.97,434.0525,1,23.646810599928333,18.56104916343812,-7.383185183844167,-14.194541500720787
1323,180.2475,193.7075,227.2075,236.375,258.5425,278.6275,1,7.467509951594339,17.294116128699198,4.034858004247215,9.378106821787421
1324,338.8425,444.6375,570.3175,501.0475,409.1475,409.72249999999997,1,31.222470616879534,28.265722076972814,-12.145866118434027,-18.341574401628595
1330,1031.06,1566.0425,2320.9775,1412.935,836.9575,731.915,1,51.88665063138907,48.206546118639814,-39.12327887711105,-40.764614083450404
1341,62.165,79.3325,93.7525,93.8775,84.9175,60.0,1,27.61602187726212,18.17666151955378,0.13332977787259007,-9.544353013235327
1342,442.8,525.1800000000001,567.3475,523.3925,464.23,477.61249999999995,1,18.604336043360444,8.029151909821374,-7.747456364926246,-11.30365834435916
1345,198.33249999999998,210.23000000000002,274.645,334.6,304.4175,288.7575,1,5.998764700692039,30.640251153498525,21.829998725627643,-9.02047220561865
1346,126.03999999999999,164.7925,232.04000000000002,239.5825,209.79000000000002,223.22750000000002,1,30.74619168517931,40.8073789765918,3.2505171522151306,-12.435173687560647
1349,306.03,312.26,418.495,373.03,318.3475,295.505,1,2.0357481292683786,34.021328380195996,-10.863929079200476,-14.659008658820994
1400,485.75,441.375,497.125,350.875,295.145,321.865,1,-9.135357694287185,12.630982724440667,-29.419160170983155,-15.883149269682942
1412,177.6075,199.64499999999998,323.8225,321.025,279.4075,296.73,1,12.407978266683555,62.19915349745799,-0.8638992040392541,-12.963943618098265
1420,121.7075,136.41,170.45499999999998,152.25,125.0,113.0825,1,12.080192264240084,24.95784766512718,-10.680238186031495,-17.898193760262725
1439,150.54000000000002,195.0,221.4175,226.20999999999998,192.4575,195.645,1,29.533678756476668,13.547435897435891,2.164463061862766,-14.920869988064176
2000,1276.3525,1400.7024999999999,1634.215,1485.175,1280.03,1135.1275,2,9.742606372455878,16.671098966411503,-9.119975033884769,-13.812850337502313
2111,55.457499999999996,65.02,64.6675,74.66499999999999,69.4175,65.875,2,17.24293377811838,-0.5421408797293019,15.459852321490683,-7.028058662023691
2113,111.105,128.27,162.0425,129.375,103.5,92.69,2,15.449349714234287,26.329227410930052,-20.159834611290243,-20.0
2120,153.76,170.23,175.89749999999998,138.245,122.70250000000001,109.725,2,10.711498439125911,3.329319156435405,-21.405932432240355,-11.24272125574161
2130,197.0,244.70999999999998,264.0425,237.395,160.625,167.9375,2,24.218274111675118,7.900167545257668,-10.092125320734354,-32.33850755070663
2131,65.8825,90.8325,113.5625,75.355,74.9175,53.64,2,37.87045118202862,25.024082789750366,-33.64446890478811,-0.5805852299117511
2141,104.355,159.2925,204.3325,193.7075,160.2425,153.275,2,52.64481816875089,28.275028642277583,-5.199858074461967,-17.276047649161754
