ch_isco_4digit,year,quarter,count_ads
1222,2021,4,150.22
1222,2022,1,170.88
1222,2022,2,196.83
1222,2022,3,173.21
1222,2022,4,178.88
1222,2023,1,190.88
1222,2023,2,182.05
1222,2023,3,162.38
1222,2023,4,119.55
1222,2024,1,139.55
1222,2024,2,140.83
1222,2024,3,112.0
1222,2024,4,103.17
1222,2025,1,114.5
1222,2025,2,117.0
1222,2025,3,104.83
1222,2025,4,83.33
1223,2020,1,254.67
1223,2020,2,151.83
1223,2020,3,189.83
1223,2020,4,196.67
1223,2021,1,250.5
1223,2021,2,269.33
1223,2021,3,259.75
1223,2021,4,289.58
1223,2022,1,276.17
1223,2022,2,258.5
1223,2022,3,271.92
1223,2022,4,271.5
1223,2023,1,285.67
1223,2023,2,264.7
1223,2023,3,207.2
1223,2023,4,205.17
1223,2024,1,220.33
1223,2024,2,204.33
1223,2024,3,161.08
1223,2024,4,166.08
1223,2025,1,210.45
1223,2025,2,191.87
1223,2025,3,180.78
1223,2025,4,188.33
1321,2020,1,399.26
1321,2020,2,344.92
1321,2020,3,379.42
1321,2020,4,383.58
1321,2021,1,429.26
1321,2021,2,463.8
1321,2021,3,467.55
1321,2021,4,502.97
1321,2022,1,549.05
1321,2022,2,566.83
1321,2022,3,520.55
1321,2022,4,573.05
1321,2023,1,524.88
1321,2023,2,501.96
1321,2023,3,512.13
1321,2023,4,507.38
1321,2024,1,459.13
1321,2024,2,449.17
1321,2024,3,432.75
1321,2024,4,414.83
1321,2025,1,442.73
1321,2025,2,465.28
1321,2025,3,419.87
1321,2025,4,408.33
1323,2020,1,188.0
1323,2020,2,178.33
1323,2020,3,162.83
1323,2020,4,191.83
1323,2021,1,195.83
1323,2021,2,186.0
1323,2021,3,198.0
1323,2021,4,195.0
1323,2022,1,207.5
1323,2022,2,210.83
1323,2022,3,256.0
1323,2022,4,234.5
1323,2023,1,261.5
1323,2023,2,223.5
1323,2023,3,223.0
1323,2023,4,237.5
1323,2024,1,264.0
1323,2024,2,248.5
1323,2024,3,250.5
1323,2024,4,271.17
1323,2025,1,263.17
1323,2025,2,292.17
1323,2025,3,287.67
1323,2025,4,271.5
1324,2020,1,437.02
1324,2020,2,297.52
1324,2020,3,299.83
1324,2020,4,321.0
1324,2021,1,375.27
1324,2021,2,427.59
1324,2021,3,462.92
1324,2021,4,512.77
1324,2022,1,562.76
1324,2022,2,569.75
1324,2022,3,594.84
1324,2022,4,553.92
1324,2023,1,556.59
1324,2023,2,514.76
1324,2023,3,489.42
1324,2023,4,443.42
1324,2024,1,441.26
1324,2024,2,421.83
1324,2024,3,374.67
1324,2024,4,398.83
1324,2025,1,445.0
1324,2025,2,439.78
1324,2025,3,388.83
1324,2025,4,365.28
1330,2020,1,1211.08
1330,2020,2,912.5
1330,2020,3,908.08
1330,2020,4,1092.58
1330,2021,1,1309.33
1330,2021,2,1596.17
1330,2021,3,1657.0
1330,2021,4,1701.67
1330,2022,1,2285.5
1330,2022,2,2416.83
1330,2022,3,2328.25
1330,2022,4,2253.33
1330,2023,1,2459.42
1330,2023,2,1209.12
1330,2023,3,1005.87
1330,2023,4,977.33
1330,2024,1,999.33
1330,2024,2,849.67
1330,2024,3,750.08
1330,2024,4,748.75
1330,2025,1,812.62
1330,2025,2,725.75
1330,2025,3,702.12
1330,2025,4,687.17
1341,2020,1,55.83
1341,2020,2,72.5
1341,2020,3,61.5
1341,2020,4,58.83
1341,2021,1,61.33
1341,2021,2,86.0
1341,2021,3,79.0
1341,2021,4,91.0
1341,2022,1,108.17
1341,2022,2,109.0
1341,2022,3,70.67
1341,2022,4,87.17
1341,2023,1,101.67
1341,2023,2,108.17
1341,2023,3,86.17
1341,2023,4,79.5
1341,2024,1,85.67
1341,2024,2,86.0
1341,2024,3,88.17
1341,2024,4,79.83
1341,2025,1,77.67
1341,2025,2,56.5
1341,2025,3,57.5
1341,2025,4,48.33
1342,2020,1,475.35
1342,2020,2,448.43
1342,2020,3,410.25
1342,2020,4,437.17
1342,2021,1,478.1
1342,2021,2,478.34
1342,2021,3,583.51
1342,2021,4,560.77
1342,2022,1,565.59
1342,2022,2,570.25
1342,2022,3,575.29
1342,2022,4,558.26
1342,2023,1,559.01
1342,2023,2,541.76
1342,2023,3,489.01
1342,2023,4,503.79
1342,2024,1,503.67
1342,2024,2,463.67
1342,2024,3,448.33
1342,2024,4,441.25
1342,2025,1,513.17
1342,2025,2,478.2
1342,2025,3,455.33
1342,2025,4,463.75
1345,2020,1,271.33
1345,2020,2,145.0
1345,2020,3,140.83
1345,2020,4,236.17
1345,2021,1,294.67
1345,2021,2,183.33
1345,2021,3,133.67
1345,2021,4,229.25
1345,2022,1,296.25
1345,2022,2,245.0
1345,2022,3,227.58
1345,2022,4,329.75
1345,2023,1,397.0
1345,2023,2,333.87
1345,2023,3,266.7
1345,2023,4,340.83
1345,2024,1,382.33
1345,2024,2,277.25
1345,2024,3,232.92
1345,2024,4,325.17
1345,2025,1,398.67
1345,2025,2,297.7
1345,2025,3,186.83
1345,2025,4,271.83
1346,2020,1,155.17
1346,2020,2,105.33
1346,2020,3,103.33
1346,2020,4,140.33
1346,2021,1,127.0
1346,2021,2,161.5
1346,2021,3,192.67
1346,2021,4,178.0
1346,2022,1,210.5
1346,2022,2,259.33000000000004
1346,2022,3,246.33
1346,2022,4,212.0
1346,2023,1,232.83
1346,2023,2,238.5
1346,2023,3,256.0
1346,2023,4,231.0
1346,2024,1,208.0
1346,2024,2,217.0
1346,2024,3,202.83
1346,2024,4,211.33
1346,2025,1,212.5
1346,2025,2,242.75
1346,2025,3,235.83
1346,2025,4,201.83
1349,2020,1,397.27
1349,2020,2,264.27
1349,2020,3,278.33
1349,2020,4,284.25
1349,2021,1,310.11
1349,2021,2,283.47
1349,2021,3,339.22
1349,2021,4,316.24
1349,2022,1,390.39
1349,2022,2,446.08
1349,2022,3,432.42
1349,2022,4,405.09
1349,2023,1,448.92
1349,2023,2,363.42
1349,2023,3,333.39
1349,2023,4,346.39
1349,2024,1,336.72
1349,2024,2,321.42
1349,2024,3,313.0
1349,2024,4,302.25
1349,2025,1,332.28
1349,2025,2,284.73
1349,2025,3,274.68
1349,2025,4,290.33
1400,2020,1,531.5
1400,2020,2,503.0
1400,2020,3,488.5
1400,2020,4,420.0
1400,2021,1,452.0
1400,2021,2,374.5
1400,2021,3,492.5
1400,2021,4,446.5
1400,2022,1,425.5
1400,2022,2,385.5
1400,2022,3,687.0
1400,2022,4,490.5
1400,2023,1,507.0
1400,2023,2,242.5
1400,2023,3,365.5
1400,2023,4,288.5
1400,2024,1,285.5
1400,2024,2,213.0
1400,2024,3,349.08
1400,2024,4,333.0
1400,2025,1,394.42
1400,2025,2,262.42
1400,2025,3,260.62
1400,2025,4,370.0
1412,2020,1,243.01
1412,2020,2,145.42
1412,2020,3,182.67
1412,2020,4,139.33
1412,2021,1,118.26
1412,2021,2,170.05
1412,2021,3,251.38
1412,2021,4,258.89
1412,2022,1,283.53
1412,2022,2,325.33
1412,2022,3,368.13
1412,2022,4,318.3
1412,2023,1,337.96
1412,2023,2,338.38
1412,2023,3,351.8
1412,2023,4,255.96
1412,2024,1,261.8
1412,2024,2,279.33
1412,2024,3,288.83
1412,2024,4,287.67
1412,2025,1,296.0
1412,2025,2,279.75
1412,2025,3,318.17
1412,2025,4,293.0
1420,2020,1,156.5
1420,2020,2,121.5
1420,2020,3,105.83
1420,2020,4,103.0
1420,2021,1,119.33
1420,2021,2,107.0
1420,2021,3,134.67
1420,2021,4,184.64
1420,2022,1,188.06
1420,2022,2,183.76
1420,2022,3,160.33
1420,2022,4,149.67
1420,2023,1,163.5
1420,2023,2,170.33
1420,2023,3,144.5
1420,2023,4,130.67
1420,2024,1,125.83
1420,2024,2,134.67
1420,2024,3,118.33
1420,2024,4,121.17
1420,2025,1,124.17
1420,2025,2,102.33
1420,2025,3,104.33
1420,2025,4,121.5
1439,2020,1,170.5
1439,2020,2,133.33
1439,2020,3,148.83
1439,2020,4,149.5
1439,2021,1,187.67
1439,2021,2,175.67
1439,2021,3,208.83
1439,2021,4,207.83
1439,2022,1,241.17
1439,2022,2,233.17
1439,2022,3,199.5
1439,2022,4,211.83
1439,2023,1,231.17
1439,2023,2,226.17
1439,2023,3,231.67
1439,2023,4,215.83
1439,2024,1,209.67
1439,2024,2,184.83
1439,2024,3,192.58
1439,2024,4,182.75
1439,2025,1,181.92
1439,2025,2,186.33
1439,2025,3,191.5
1439,2025,4,222.83
2000,2020,1,1387.5
2000,2020,2,1185.08
2000,2020,3,1225.33
2000,2020,4,1307.5
2000,2021,1,1399.95
2000,2021,2,1363.78
2000,2021,3,1322.33
2000,2021,4,1516.75
2000,2022,1,1690.33
2000,2022,2,1613.53
2000,2022,3,1556.0
2000,2022,4,1677.0
2000,2023,1,1669.5
2000,2023,2,1555.75
2000,2023,3,1344.67
2000,2023,4,1370.78
2000,2024,1,1391.87
2000,2024,2,1316.83
2000,2024,3,1197.0
2000,2024,4,1214.42
2000,2025,1,1264.52
2000,2025,2,1164.2
