soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
11-1011.00,1120,1,0.1844079761990149,1.7107154846984889,False,134.88761828972696,137.1951616627503,3,Sonstiges
11-1011.03,2133,2,0.2792497131412424,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
11-2011.00,2431,2,0.1427636246288465,-0.0256149895060899,False,43.93795628549201,43.92670158260029,4,Sonstiges
11-2021.00,1221,1,0.06273759327000045,4.713553274620107,False,52.72827724799202,55.21365268686552,3,Sonstiges
11-2022.00,1221,1,0.0,4.713553274620107,False,52.72827724799202,55.21365268686552,3,Sonstiges
11-3012.00,1349,1,0.05800773964283649,4.65508308680129,False,8.184198786407,8.565180039903229,3,Sonstiges
11-3013.00,1219,1,0.0,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3013.01,1219,1,0.02653269843519251,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3031.00,1211,1,0.18805760598368093,-7.322497252721817,False,21.499894461505,19.925565280223204,3,Sonstiges
11-3031.01,1211,1,0.5034026727139872,-7.322497252721817,False,21.499894461505,19.925565280223204,3,Sonstiges
11-3031.03,2412,2,0.5640413837261037,4.628597310126321,False,19.897725421554,20.81871100519237,4,Sonstiges
11-3051.00,1321,1,0.0,-1.8948689340589904,False,34.40472682012501,33.7528023397626,3,Sonstiges
11-3051.01,1321,1,0.1753365472001519,-1.8948689340589904,False,34.40472682012501,33.7528023397626,3,Sonstiges
11-3051.02,1219,1,0.0,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3051.03,1219,1,0.0,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3051.04,1219,1,0.0,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3051.06,1219,1,0.0,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-3061.00,3323,3,0.009936012231470847,1.6052996370863597,False,10.104688062421005,10.266898583215756,3,Sonstiges
11-3071.00,1324,1,0.0,11.483540430488349,False,18.928098152166,21.1017139561925,3,Sonstiges
11-3071.04,1324,1,0.05056420838092764,11.483540430488349,False,18.928098152166,21.1017139561925,3,Sonstiges
11-3111.00,1212,1,0.3428792637824936,1.1763416091004857,False,13.564983511046998,13.724554056355064,3,Sonstiges
11-3121.00,1212,1,0.0,1.1763416091004857,False,13.564983511046998,13.724554056355064,3,Sonstiges
11-3131.00,2424,2,0.026776758301294997,4.2537748424225486,False,6.644263679097,6.926895695942648,4,Sonstiges
11-9013.00,1311,1,0.0,61.1602041783743,True,0.461633413851,0.7439693523178712,3,Sonstiges
11-9021.00,1323,1,0.0,2.2999481365712278,False,7.393838464748998,7.563892914740079,3,Sonstiges
11-9031.00,1341,1,0.0,-11.554476973672667,False,3.922539975932,3.4693109976298317,3,Sonstiges
11-9032.00,1345,1,0.0,-6.693310805063635,False,11.028094699376,10.289950045270016,3,Sonstiges
11-9041.01,1223,1,0.4747852165093359,18.02024621863212,False,7.978092085696001,9.415763923087622,3,Sonstiges
11-9051.00,1412,1,0.0,-5.47592398648079,False,19.072046092383005,18.02767534569753,3,Sonstiges
